4/4
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,16.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,432.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,433.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,434.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,435.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,436.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,437.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,438.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,439.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,440.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,441.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,442.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,443.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,444.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,445.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,446.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,447.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,448.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,449.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,450.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,451.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,452.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,453.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,454.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,455.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,456.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,457.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,458.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,459.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,460.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,461.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,462.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,463.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,464.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,465.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,466.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,467.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,468.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,469.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,470.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,471.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,472.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,473.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,474.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,475.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,476.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,477.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,478.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,479.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,480.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,481.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,482.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,483.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,484.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,485.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,486.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,487.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,488.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,489.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,490.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,491.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,492.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,493.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,558.5
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,559.0
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,559.5
