560.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,16.5
Chord {E-flat in octave 4 | C in octave 5} Breve,C5-interval class 3,8.0,424.0
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,432.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,433.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,434.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,435.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,436.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,437.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,438.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,439.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,440.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,441.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,442.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,443.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,444.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,445.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,446.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,447.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,448.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,449.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,450.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,451.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,452.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,453.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,454.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,455.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,456.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,457.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,458.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,459.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,460.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,461.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,462.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,463.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,464.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,465.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,466.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,467.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,468.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,469.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,470.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,471.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,472.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,473.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,474.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,475.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,476.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,477.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,478.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,479.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,480.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,481.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,482.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,483.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,484.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,485.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,486.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,487.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,488.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,489.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,490.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,491.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,492.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,493.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,558.5
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,559.0
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,559.5
Chord {C-sharp in octave 4 | C-sharp in octave 5} Eighth,C#4-unison,0.5,81.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,81.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,82.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Dotted Quarter,F#5-unison,1.5,83.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,85.0
Chord {E-flat in octave 4 | E-flat in octave 5} Eighth,E-4-unison,0.5,85.5
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth,C#5-unison,0.5,86.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Dotted Quarter,G#5-unison,1.5,87.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,89.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,89.5
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,90.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter,F#5-unison,1.0,91.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,92.5
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth,C#5-unison,0.5,97.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,97.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,98.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Dotted Quarter,F#5-unison,1.5,99.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,101.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,101.5
Chord {C-sharp in octave 4 | C-sharp in octave 5} Eighth,C#4-unison,0.5,102.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Dotted Quarter,G#5-unison,1.5,103.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,105.0
Chord {F-sharp in octave 4 | F-sharp in octave 5} Eighth,F#4-unison,0.5,105.5
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,106.5
Chord {F-sharp in octave 4 | F-sharp in octave 5} Quarter,F#4-unison,1.0,107.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,108.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,110.5
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,111.0
Chord {C-sharp in octave 5 | C-sharp in octave 6} Dotted Quarter,C#5-unison,1.5,111.5
Chord {E-flat in octave 5 | E-flat in octave 6} Eighth,E-5-unison,0.5,113.0
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,113.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,115.5
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,116.0
Chord {C-sharp in octave 5 | C-sharp in octave 6} Eighth,C#5-unison,0.5,116.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,117.0
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,118.5
Chord {F-sharp in octave 4 | F-sharp in octave 5} Eighth,F#4-unison,0.5,119.0
Chord {G-sharp in octave 4 | G-sharp in octave 5} Dotted Quarter,G#4-unison,1.5,119.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,121.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,121.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,122.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter,F#5-unison,1.0,123.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,124.5
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,126.5
Chord {E in octave 6 | C-sharp in octave 6 | E in octave 5 | C-sharp in octave 5} Eighth,C#6-interval class 3,0.5,127.0
Chord {F-sharp in octave 6 | E-flat in octave 6 | F-sharp in octave 5 | E-flat in octave 5} Dotted Quarter,F#6-interval class 3,1.5,127.5
Chord {G-sharp in octave 6 | E in octave 6 | G-sharp in octave 5 | E in octave 5} Eighth,E6-interval class 4,0.5,129.0
Chord {E in octave 6 | C-sharp in octave 6 | C-sharp in octave 5 | E in octave 5} Eighth,C#6-interval class 3,0.5,129.5
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,131.5
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth,E-6-unison,0.5,132.0
Chord {E in octave 6 | E in octave 5} Eighth,E6-unison,0.5,132.5
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,133.0
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,133.5
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,134.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,135.0
Chord {G-sharp in octave 5 | G-sharp in octave 4} Dotted Quarter,G#5-unison,1.5,135.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,137.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,137.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,138.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter,F#5-unison,1.0,139.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,140.5
Chord {E-flat in octave 5 | B in octave 4} Eighth,E-5-interval class 4,0.5,143.0
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-minor triad,0.5,143.5
Chord {G-sharp in octave 4 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,144.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,145.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,146.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,147.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-major triad,0.5,148.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,148.5
Chord {E in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,149.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,150.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-minor triad,0.5,151.5
Chord {G-sharp in octave 4 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,152.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,153.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,154.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,155.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Dotted Quarter,E-4-major triad,1.5,156.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,157.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,158.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-minor triad,0.5,159.5
Chord {G-sharp in octave 4 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,160.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,161.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,162.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,163.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-major triad,0.5,164.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,164.5
Chord {E in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,165.5
Chord {E-flat in octave 4 | B in octave 4 | F-sharp in octave 4} Eighth,E-4-major triad,0.5,166.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-quartal trichord,2.5,167.5
Chord {G-sharp in octave 4 | E in octave 4} Eighth,E4-interval class 4,0.5,173.5
Chord {C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-interval class 5,0.5,174.0
Chord {E in octave 5 | C-sharp in octave 5} Eighth,C#5-interval class 3,0.5,174.5
Chord {F-sharp in octave 5 | E-flat in octave 5} Eighth,F#5-interval class 3,0.5,175.0
Chord {E in octave 5 | G-sharp in octave 5 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,175.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,176.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,177.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,178.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-minor triad,0.5,179.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,180.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,180.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,181.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,182.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,183.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,184.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,185.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,186.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,187.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Dotted Quarter,E-5-major triad,1.5,188.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,189.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,190.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,191.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,192.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,193.0
Chord {C-sharp in octave 5 | A in octave 4 | E in octave 5} Eighth,A4-major triad,0.5,194.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,195.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,196.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,196.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,197.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,198.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-quartal trichord,2.5,199.5
Chord {C-sharp in octave 4 | C-sharp in octave 5} Eighth,C#4-unison,0.5,241.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,241.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,242.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Dotted Quarter,F#5-unison,1.5,243.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,245.0
Chord {E-flat in octave 4 | E-flat in octave 5} Eighth,E-4-unison,0.5,245.5
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth,C#5-unison,0.5,246.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Dotted Quarter,G#5-unison,1.5,247.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,249.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,249.5
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,250.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter,F#5-unison,1.0,251.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,252.5
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth,C#5-unison,0.5,257.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,257.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,258.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Dotted Quarter,F#5-unison,1.5,259.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,261.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,261.5
Chord {C-sharp in octave 4 | C-sharp in octave 5} Eighth,C#4-unison,0.5,262.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Dotted Quarter,G#5-unison,1.5,263.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,265.0
Chord {F-sharp in octave 4 | F-sharp in octave 5} Eighth,F#4-unison,0.5,265.5
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,266.5
Chord {F-sharp in octave 4 | F-sharp in octave 5} Quarter,F#4-unison,1.0,267.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,268.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,270.5
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,271.0
Chord {C-sharp in octave 5 | C-sharp in octave 6} Dotted Quarter,C#5-unison,1.5,271.5
Chord {E-flat in octave 5 | E-flat in octave 6} Eighth,E-5-unison,0.5,273.0
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,273.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,275.5
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,276.0
Chord {C-sharp in octave 5 | C-sharp in octave 6} Eighth,C#5-unison,0.5,276.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,277.0
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,278.5
Chord {F-sharp in octave 4 | F-sharp in octave 5} Eighth,F#4-unison,0.5,279.0
Chord {G-sharp in octave 4 | G-sharp in octave 5} Dotted Quarter,G#4-unison,1.5,279.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,281.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,281.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,282.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter,F#5-unison,1.0,283.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,284.5
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,286.5
Chord {E in octave 6 | C-sharp in octave 6 | E in octave 5 | C-sharp in octave 5} Eighth,C#6-interval class 3,0.5,287.0
Chord {F-sharp in octave 6 | E-flat in octave 6 | F-sharp in octave 5 | E-flat in octave 5} Dotted Quarter,F#6-interval class 3,1.5,287.5
Chord {G-sharp in octave 6 | E in octave 6 | G-sharp in octave 5 | E in octave 5} Eighth,E6-interval class 4,0.5,289.0
Chord {E in octave 6 | C-sharp in octave 6 | C-sharp in octave 5 | E in octave 5} Eighth,C#6-interval class 3,0.5,289.5
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,291.5
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth,E-6-unison,0.5,292.0
Chord {E in octave 6 | E in octave 5} Eighth,E6-unison,0.5,292.5
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,293.0
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,293.5
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,294.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,295.0
Chord {G-sharp in octave 5 | G-sharp in octave 4} Dotted Quarter,G#5-unison,1.5,295.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,297.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,297.5
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,298.5
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter,F#5-unison,1.0,299.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,300.5
Chord {E-flat in octave 5 | B in octave 4} Eighth,E-5-interval class 4,0.5,303.0
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-minor triad,0.5,303.5
Chord {G-sharp in octave 4 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,304.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,305.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,306.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,307.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-major triad,0.5,308.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,308.5
Chord {E in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,309.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,310.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-minor triad,0.5,311.5
Chord {G-sharp in octave 4 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,312.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,313.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,314.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,315.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Dotted Quarter,E-4-major triad,1.5,316.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,317.5
