4/4
Chord {C-sharp in octave 4 | G in octave 3 | C in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C#4-tritone-fourth,11/3,10.0
Chord {F in octave 5 | D in octave 4} 16th,D4-interval class 3,0.25,437.0
Chord {E-flat in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),E-5-interval class 4,1/3,1312/3
Chord {G in octave 3 | B in octave 3} Half Triplet (1 1/3 QL),G3-interval class 4,4/3,440.0
Chord {E in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,F#3-incomplete half-diminished seventh chord,0.25,1328/3
Chord {D in octave 4 | D in octave 6 | A in octave 3} 16th,D4-interval class 5,0.25,444.0
Chord {B in octave 3 | F-sharp in octave 3} 16th,B3-interval class 5,0.25,444.25
Chord {C in octave 6 | B in octave 5} Zero,C6-interval class 1,0.0,444.5
Chord {D in octave 5 | D in octave 4} Zero,D5-unison,0.0,1336/3
Chord {B in octave 3 | G in octave 3} Zero,G3-interval class 4,0.0,447.0
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,455.25
Chord {B in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),B3-interval class 1,1/3,455.25
Chord {B-flat in octave 4 | G-sharp in octave 4} Quarter,G#4-interval class 2,1.0,456.25
Chord {E in octave 4 | E-flat in octave 4} Quarter,E4-interval class 1,1.0,456.25
Chord {G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Zero,E-4-minor triad,0.0,1373/3
Chord {C-sharp in octave 6 | G-sharp in octave 4 | B-flat in octave 3 | E in octave 4 | G-sharp in octave 5 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#6-half-diminished seventh chord,1/3,458.0
Chord {E-flat in octave 5 | E-flat in octave 6 | G-sharp in octave 4 | B-flat in octave 3} 16th,E-5-quartal trichord,0.25,1376/3
Chord {G-sharp in octave 5 | G-sharp in octave 4 | B-flat in octave 3 | E in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),E4-minor-second quartal tetrachord,1/3,1376/3
Chord {C-sharp in octave 6 | G-sharp in octave 4 | B-flat in octave 3 | E in octave 4 | E-flat in octave 4 | C-sharp in octave 5 | G-sharp in octave 5} 16th,C#6-Kumoi pentachord,0.25,459.25
Chord {E-flat in octave 5 | E-flat in octave 6} Eighth Triplet (1/3 QL),E-5-unison,1/3,1379/3
Chord {B-flat in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),E5-tritone,1/3,460.25
Chord {B-flat in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 3,0.25,461.5
Chord {E-flat in octave 5 | E-flat in octave 6 | B-flat in octave 5 | G in octave 5} 16th,E-5-major triad,0.25,463.25
Chord {B-flat in octave 5 | C-sharp in octave 6 | C-sharp in octave 5 | E in octave 5 | G in octave 5} 16th,C#6-diminished seventh chord,0.25,1391/3
Chord {B-flat in octave 5 | B-flat in octave 4 | E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth Triplet (1/3 QL),E-5-major seventh chord,1/3,464.25
Chord {G-sharp in octave 5 | G-sharp in octave 4 | F-sharp in octave 5 | B in octave 4 | E-flat in octave 5} Zero,E-5-minor seventh chord,0.0,464.75
Chord {E-flat in octave 5 | E-flat in octave 4 | G-sharp in octave 4} 16th,E-5-interval class 5,0.25,1397/3
Chord {B in octave 4 | G-sharp in octave 4 | F in octave 4} Zero,G#4-diminished triad,0.0,466.25
Chord {E-flat in octave 4 | G-sharp in octave 3} 16th,E-4-interval class 5,0.25,1400/3
Chord {C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,466.75
Chord {G-sharp in octave 3 | B-flat in octave 2} Dotted Eighth,G#3-interval class 2,0.75,470.25
Chord {F-sharp in octave 4 | C-sharp in octave 4} Eighth,F#4-interval class 5,0.5,472.0
Chord {A in octave 4 | B in octave 3 | D in octave 4 | E in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),E4-major pentatonic,1/3,480.5
Chord {A in octave 4 | D in octave 4 | E in octave 4} Eighth,D4-quartal trichord,0.5,481.0
Chord {D in octave 4 | A in octave 5 | G in octave 3 | E in octave 5 | D in octave 5 | A in octave 4} 16th,E5-quartal tetramirror,0.25,482.0
Chord {C in octave 6 | G in octave 3 | A in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),F5-major-second major tetrachord,1/3,482.75
Chord {E in octave 6 | F-sharp in octave 4 | G in octave 3 | C-sharp in octave 6 | A in octave 5 | E in octave 5} 16th,F#4-minor-diminished ninth chord,0.25,483.5
Chord {C-sharp in octave 6 | A in octave 5} Eighth,A5-interval class 4,0.5,484.0
Chord {F-sharp in octave 3 | E in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),F#3-incomplete dominant-seventh chord,2/3,484.0
Chord {B in octave 3 | C-sharp in octave 5} Quarter Triplet (2/3 QL),C#5-interval class 2,2/3,484.25
Chord {F-sharp in octave 5 | C-sharp in octave 4} Quarter Triplet (2/3 QL),F#5-interval class 5,2/3,485.5
Chord {C-sharp in octave 5 | C-sharp in octave 4 | E in octave 4} Eighth,C#5-interval class 3,0.5,485.5
Chord {A in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),B3-interval class 2,1/3,485.5
Chord {C-sharp in octave 4 | E in octave 4 | B in octave 3} Quarter,C#4-incomplete minor-seventh chord,1.0,1460/3
Chord {B in octave 3 | G in octave 3} Half,G3-interval class 4,2.0,488.25
Chord {E in octave 4 | F-sharp in octave 3 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),E4-quartal trichord,1.25,492.0
Chord {A in octave 5 | E in octave 4 | B in octave 3} Zero,A5-quartal trichord,0.0,493.5
Chord {C-sharp in octave 4 | E in octave 4 | F-sharp in octave 3} 16th,F#3-incomplete dominant-seventh chord,0.25,493.5
Chord {E in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),E4-interval class 5,2/3,494.0
Chord {G-sharp in octave 3 | B in octave 3} 16th,G#3-interval class 3,0.25,498.25
Chord {F-sharp in octave 6 | F in octave 3} Zero,F#6-interval class 1,0.0,498.25
Chord {G-sharp in octave 3 | B in octave 3} Eighth,G#3-interval class 3,0.5,499.25
Chord {E in octave 4 | B-flat in octave 5 | F in octave 3} Eighth Triplet (1/3 QL),E4-tritone-fourth,1/3,499.25
Chord {G-sharp in octave 6 | F-sharp in octave 6} 16th,G#6-interval class 2,0.25,1499/3
Chord {E-flat in octave 4 | B in octave 3} Zero,E-4-interval class 4,0.0,499.75
Chord {G-sharp in octave 3 | G-sharp in octave 5} 16th,G#3-unison,0.25,500.0
Chord {D in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 2,2/3,501.0
Chord {A in octave 6 | G in octave 6} 16th,A6-interval class 2,0.25,501.25
Chord {G in octave 6 | E in octave 4 | D in octave 4 | D in octave 6 | G in octave 4 | G in octave 5} 16th,E4-incomplete minor-seventh chord,0.25,502.0
Chord {E in octave 6 | B in octave 5 | D in octave 4 | G in octave 4 | E in octave 4} 16th,E6-minor seventh chord,0.25,502.5
Chord {D in octave 5 | D in octave 4} Zero,D5-unison,0.0,503.0
Chord {C in octave 6 | C in octave 5} Dotted Quarter,C6-unison,1.5,504.0
Chord {F in octave 4 | A in octave 3} Dotted Eighth,F4-interval class 4,0.75,504.0
Chord {C in octave 4 | F in octave 4} Dotted Eighth,F4-interval class 5,0.75,505.0
Chord {E in octave 4 | B in octave 3 | F in octave 3} Quarter,E4-tritone-fourth,1.0,506.0
Chord {C in octave 5 | D in octave 5} Zero,D5-interval class 2,0.0,509.5
Chord {D in octave 5 | B-flat in octave 4 | G in octave 4} Eighth,G4-minor triad,0.5,510.0
Chord {G-sharp in octave 4 | C in octave 5} Eighth,C5-interval class 4,0.5,511.0
Chord {F-sharp in octave 4 | F-sharp in octave 5 | A in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,512.25
Chord {E-flat in octave 4 | C-sharp in octave 4 | G in octave 4 | F in octave 4 | A in octave 4} Zero,F4-whole-tone pentachord,0.0,513.0
Chord {E-flat in octave 5 | C-sharp in octave 5 | B in octave 5 | G in octave 5 | F in octave 5 | A in octave 5} Zero,F5-whole tone scale,0.0,513.5
Chord {B in octave 4 | F in octave 4 | G in octave 4} Dotted Eighth,G4-incomplete dominant-seventh chord,0.75,1544/3
Chord {E-flat in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 2,0.5,1544/3
Chord {B-flat in octave 2 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-interval class 2,2/3,518.0
Chord {G in octave 4 | C-sharp in octave 4} Zero,C#4-tritone,0.0,519.0
Chord {F-sharp in octave 4 | C-sharp in octave 4 | F in octave 6 | G in octave 3} 16th,F#4-major third testacluster,0.25,522.5
Chord {F-sharp in octave 4 | G in octave 3} 16th,G3-interval class 1,0.25,522.75
Chord {A in octave 5 | F-sharp in octave 4 | G in octave 3} Zero,F#4-phrygian trichord,0.0,523.0
Chord {A in octave 5 | G in octave 3} 16th,A5-interval class 2,0.25,1570/3
Chord {C-sharp in octave 6 | E in octave 4} 16th,C#6-interval class 3,0.25,523.75
Chord {C-sharp in octave 4 | F-sharp in octave 3} Eighth,F#3-interval class 5,0.5,523.75
Chord {E in octave 4 | E in octave 6 | B in octave 3} 16th,E4-interval class 5,0.25,524.0
Chord {F-sharp in octave 3 | E in octave 4 | C-sharp in octave 4} 16th,F#3-incomplete dominant-seventh chord,0.25,524.5
Chord {E in octave 6 | A in octave 3 | E in octave 4 | F in octave 3 | C in octave 4} 16th,F3-major seventh chord,0.25,525.0
Chord {E in octave 6 | E in octave 4 | C in octave 4 | A in octave 3} 16th,A3-minor triad,0.25,1576/3
Chord {D in octave 6 | E in octave 4} 16th,E4-interval class 2,0.25,1577/3
Chord {D in octave 6 | F in octave 5} Eighth,D6-interval class 3,0.5,526.0
Chord {F in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Quarter Triplet (2/3 QL),B-3-incomplete major-seventh chord,2/3,526.0
Chord {C in octave 4 | F in octave 5} Eighth,F5-interval class 5,0.5,526.0
Chord {B-flat in octave 5 | D in octave 5 | F in octave 5} Zero,B-5-major triad,0.0,527.5
Chord {F in octave 4 | D in octave 5 | C in octave 4} 16th,D5-incomplete minor-seventh chord,0.25,527.5
Chord {B-flat in octave 3 | F-sharp in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,527.5
Chord {E-flat in octave 5 | B in octave 4} Quarter,E-5-interval class 4,1.0,528.0
Chord {G in octave 3 | G in octave 4 | E-flat in octave 4} Eighth,E-4-interval class 4,0.5,529.5
Chord {D in octave 5 | D in octave 4} Eighth,D5-unison,0.5,530.0
Chord {G in octave 4 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-interval class 4,2/3,530.0
Chord {G in octave 3 | B-flat in octave 3 | C in octave 3} Quarter,C3-incomplete dominant-seventh chord,1.0,532.0
Chord {C in octave 4 | G-sharp in octave 3} Double Dotted Quarter,C4-interval class 4,1.75,539.75
Chord {F in octave 4 | E-flat in octave 4 | C in octave 4} Zero,F4-incomplete dominant-seventh chord,0.0,543.0
Chord {G-sharp in octave 3 | C in octave 4} Dotted Eighth,C4-interval class 4,0.75,544.0
Chord {G-sharp in octave 4 | C in octave 4} Zero,C4-interval class 4,0.0,1636/3
Chord {B in octave 3 | F in octave 3} Eighth,B3-tritone,0.5,547.0
Chord {D in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,547.5
Chord {G-sharp in octave 4 | C-sharp in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#4-incomplete minor-seventh chord,1/3,550.5
Chord {G-sharp in octave 4 | F in octave 4 | C-sharp in octave 4} Eighth,F4-major triad,0.5,551.0
Chord {B-flat in octave 4 | C-sharp in octave 4} 16th,C#4-interval class 3,0.25,1655/3
Chord {G in octave 4 | E-flat in octave 4} Eighth,E-4-interval class 4,0.5,552.25
Chord {C in octave 4 | C in octave 5} Eighth,C4-unison,0.5,553.25
Chord {E-flat in octave 4 | G in octave 5} 16th,E-4-interval class 4,0.25,1661/3
Chord {D in octave 5 | B in octave 4 | E-flat in octave 4 | F in octave 4} Dotted Eighth,B4-major-third diminished terachord,0.75,554.25
Chord {D in octave 5 | B in octave 4} Quarter Triplet (2/3 QL),B4-interval class 3,2/3,555.25
Chord {E in octave 5 | G in octave 4 | B in octave 4} Eighth,E5-minor triad,0.5,556.25
Chord {G in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 5,2/3,557.25
Chord {E in octave 4 | F in octave 4} Zero,F4-interval class 1,0.0,558.25
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#5-unison,1/3,559.0
Chord {F in octave 4 | A in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),D4-minor triad,2/3,561.25
Chord {E in octave 4 | C in octave 4} Dotted Quarter,C4-interval class 4,1.5,1693/3
Chord {E in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),E4-interval class 5,2/3,1700/3
Chord {A in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),B3-interval class 2,2/3,1700/3
Chord {B in octave 5 | B in octave 4} 16th,B5-unison,0.25,567.5
Chord {C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Quarter Triplet (2/3 QL),B-3-major triad,2/3,568.0
Chord {F in octave 4 | F-sharp in octave 3} Eighth,F4-interval class 1,0.5,568.0
Chord {F in octave 6 | B-flat in octave 5 | F in octave 5 | C-sharp in octave 4 | F in octave 4} Eighth,B-5-minor triad,0.5,569.0
Chord {F-sharp in octave 3 | B-flat in octave 3} Eighth,B-3-interval class 4,0.5,569.0
Chord {F in octave 6 | F in octave 5} Quarter,F6-unison,1.0,570.0
Chord {F in octave 4 | B-flat in octave 3 | F-sharp in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-minor-second quartal tetrachord,1.25,570.0
Chord {G-sharp in octave 4 | E-flat in octave 6 | B in octave 3 | E in octave 4 | E-flat in octave 4 | E-flat in octave 5} Eighth,E-6-major seventh chord,0.5,572.25
Chord {G-sharp in octave 4 | E-flat in octave 6 | E in octave 4 | E-flat in octave 4 | B in octave 3 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-6-major seventh chord,1/3,573.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | E in octave 4} Zero,E-4-incomplete major-seventh chord,0.0,573.5
Chord {E-flat in octave 5 | B in octave 3} 16th,E-5-interval class 4,0.25,573.5
