4/4
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,11.0
Chord {E-flat in octave 2 | B in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,E-2-major triad,0.25,171.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,171.25
Chord {E-flat in octave 2 | B in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,B2-major-minor tetramirror,0.25,171.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,172.0
Chord {C in octave 2 | E in octave 3} Eighth,C2-interval class 4,0.5,172.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,174.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,175.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,175.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,176.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,177.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,177.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,177.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,178.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,178.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,179.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,179.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,180.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,180.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,181.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,181.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,182.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,183.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,184.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,184.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,185.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,185.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,185.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,186.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,186.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,187.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,187.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,187.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,188.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,190.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,191.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,191.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,192.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,193.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,193.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,193.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,194.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,194.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,195.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,195.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,196.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,196.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,197.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,197.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,198.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,199.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,200.0
Chord {G-sharp in octave 2 | E in octave 3} Eighth,E3-interval class 4,0.5,200.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,200.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,201.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,201.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,201.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,202.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,202.5
Chord {F-sharp in octave 2 | F-sharp in octave 4 | F-sharp in octave 3} 16th,F#2-unison,0.25,203.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,203.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,203.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,204.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,206.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,207.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,207.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,208.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,209.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,209.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,209.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,210.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,210.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,211.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,211.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,212.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,212.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,213.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,213.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,214.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,215.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,216.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,216.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,217.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,217.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,217.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,218.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,218.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,219.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,219.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,219.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,220.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,222.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,223.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,223.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,224.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,225.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,225.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,225.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,226.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,226.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,227.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,227.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,228.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,228.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,229.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,229.25
Chord {D in octave 4 | F-sharp in octave 3 | F in octave 2} 16th,D4-major-minor trichord,0.25,230.25
Chord {D in octave 4 | F-sharp in octave 2} 16th,D4-interval class 4,0.25,230.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,231.0
Chord {E in octave 4 | G in octave 2} 16th,E4-interval class 3,0.25,231.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,232.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,232.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,233.0
Chord {E in octave 4 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,233.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,233.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,234.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,234.5
Chord {D in octave 4 | B in octave 2} 16th,B2-interval class 3,0.25,234.75
Chord {F-sharp in octave 2 | F-sharp in octave 3 | A in octave 2} 16th,F#2-interval class 3,0.25,235.0
Chord {E in octave 4 | F-sharp in octave 3 | B in octave 2} Zero,E4-quartal trichord,0.0,235.25
Chord {G in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3 | F in octave 2} Zero,G2-minor third tetracluster,0.0,235.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,236.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,238.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,239.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,239.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,240.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,241.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,241.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,241.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,242.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,242.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,242.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,243.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,243.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,243.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,244.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,244.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,245.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,245.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,246.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,247.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,248.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,248.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,249.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,249.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,249.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,250.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,250.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,250.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,251.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,251.25
Chord {E in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,251.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,251.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,252.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,254.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,255.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,255.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,256.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,257.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,257.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,257.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,258.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,258.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,258.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,259.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,259.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,259.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,260.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,260.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,261.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,261.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,262.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,263.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,264.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,264.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,265.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,265.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,265.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,266.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,266.5
Chord {D in octave 2 | E in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D2-whole-tone trichord,0.25,266.75
Chord {E in octave 2 | D in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,D2-whole-tone trichord,0.25,267.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,267.25
Chord {E in octave 2 | D in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-whole-tone trichord,1/3,267.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,267.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,268.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,270.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,271.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,271.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,272.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,273.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,273.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,273.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,274.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,274.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,274.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,275.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,275.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,275.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,276.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,276.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,277.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,277.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,278.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,279.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,280.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,280.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,281.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,281.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,281.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,282.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,282.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,282.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,283.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,283.25
Chord {E in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,283.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,283.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,284.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,286.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,287.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,287.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,288.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,289.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,289.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,289.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,290.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,290.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,290.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,291.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,291.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,291.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,292.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,292.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,293.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,293.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,294.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,295.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,296.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,296.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,297.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,297.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,297.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,298.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,298.5
Chord {E-flat in octave 2 | D in octave 2 | E in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D2-major-second tetracluster,0.25,298.75
Chord {E-flat in octave 2 | E in octave 2 | D in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,D2-major-second tetracluster,0.25,299.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,299.25
Chord {E-flat in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-major-minor trichord,0.25,299.5
Chord {E in octave 2 | D in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-whole-tone trichord,1/3,299.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,300.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,302.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,303.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,303.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,304.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,305.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,305.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,305.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,306.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,306.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,306.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,306.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,307.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,307.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,307.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,307.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,308.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,308.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,309.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,309.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,310.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,311.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,312.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,312.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,313.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,313.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,313.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,314.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,314.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,314.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,314.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,315.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,315.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,315.25
Chord {E in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,315.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,315.5
