4/4
Chord {A in octave 5 | C in octave 5 | C in octave 3 | A in octave 3} Dotted Quarter,A5-interval class 3,1.5,0.0
Chord {C in octave 4 | A in octave 3 | F-sharp in octave 4 | D in octave 4 | C in octave 5} Dotted Eighth,D4-dominant seventh chord,0.75,301.75
Chord {B in octave 3 | G in octave 4 | E in octave 4 | D in octave 4 | B in octave 4} 16th,E4-minor seventh chord,0.25,302.75
Chord {B-flat in octave 3 | G in octave 4 | E in octave 4 | C-sharp in octave 4 | B-flat in octave 4} Eighth,C#4-diminished seventh chord,0.5,303.0
Chord {A in octave 3 | F-sharp in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} 16th,D4-dominant seventh chord,0.25,303.75
Chord {C in octave 4 | B-flat in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),B-3-major-second major tetrachord,5/3,304.0
Chord {B in octave 3 | G-sharp in octave 3 | F in octave 4 | D in octave 4 | B in octave 4} Eighth,G#3-diminished seventh chord,0.5,306.0
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),G4-minor seventh chord,1.25,306.75
Chord {A in octave 3 | F-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F#4-diminished seventh chord,2/3,308.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 4 | C in octave 5} 16th,C4-minor seventh chord,0.25,926/3
Chord {G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4} Eighth,G#3-minor seventh chord,0.5,309.0
Chord {G in octave 3 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 4} Dotted Quarter,G3-half-diminished seventh chord,1.5,929/3
Chord {G in octave 3 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor seventh chord,1.25,938/3
Chord {G in octave 3 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),A3-minor seventh chord,2/3,314.0
Chord {F-sharp in octave 3 | D in octave 4 | B in octave 3 | G in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),G3-major seventh chord,1/3,314.75
Chord {F in octave 3 | D in octave 4 | B in octave 3 | G-sharp in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),G#3-diminished seventh chord,1/3,315.25
Chord {E in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | E in octave 5} Quarter,E4-major-diminished tetrachord,1.0,315.75
Chord {E-flat in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | E-flat in octave 5} Eighth,E-4-half-diminished seventh chord,0.5,317.0
Chord {D in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | D in octave 5} Dotted Eighth,G#4-diminished seventh chord,0.75,953/3
Chord {C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4 | D in octave 4 | C-sharp in octave 5} 16th,D4-major-diminished tetrachord,0.25,956/3
Chord {D in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | D in octave 5} Eighth,G#4-diminished seventh chord,0.5,319.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 5} Double Dotted Quarter,G4-minor seventh chord,1.75,320.0
Chord {C-sharp in octave 4 | B-flat in octave 3 | G in octave 4 | E in octave 4 | C-sharp in octave 5} Eighth,C#4-diminished seventh chord,0.5,322.0
Chord {C in octave 4 | B-flat in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),B-3-major-second major tetrachord,2/3,322.75
Chord {G in octave 3 | F in octave 4 | D in octave 4 | B-flat in octave 3} Quarter,G3-minor seventh chord,1.0,323.75
Chord {G-sharp in octave 3 | E in octave 4 | C in octave 4 | B-flat in octave 3 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C4-augmented seventh chord,2/3,326.0
Chord {E in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 4 | E in octave 5} Dotted Eighth,C4-dominant seventh chord,0.75,327.0
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-minor seventh chord,1/3,986/3
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Eighth,D4-minor seventh chord,0.5,329.0
Chord {F-sharp in octave 3 | E-flat in octave 4 | C in octave 4 | A in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#3-diminished seventh chord,1/3,329.75
Chord {A in octave 3 | F-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | A in octave 4} Eighth,F#4-diminished seventh chord,0.5,992/3
Chord {F-sharp in octave 3 | E-flat in octave 4 | C in octave 4 | A in octave 3 | F-sharp in octave 4} 16th,F#3-diminished seventh chord,0.25,995/3
Chord {G in octave 3 | F in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),G3-minor seventh chord,1/3,332.0
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} 16th,G4-minor seventh chord,0.25,998/3
Chord {D in octave 4 | B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,333.0
Chord {C in octave 4 | B-flat in octave 3 | G in octave 4 | E in octave 4 | C in octave 5} 16th,C4-dominant seventh chord,0.25,1001/3
Chord {C in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | C in octave 4} 16th,C3-dominant seventh chord,0.25,1004/3
Chord {D in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),E3-half-diminished seventh chord,1/3,335.0
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Half,D4-minor seventh chord,2.0,1007/3
Chord {C in octave 3 | A in octave 3 | F in octave 3 | D in octave 3 | C in octave 4} Eighth,D3-minor seventh chord,0.5,338.0
Chord {D in octave 3 | C in octave 4 | A in octave 3 | F in octave 3 | D in octave 4} Quarter,D3-minor seventh chord,1.0,1016/3
Chord {E-flat in octave 3 | C in octave 4 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 4} Whole Triplet (2 2/3 QL),F#3-diminished seventh chord,8/3,1019/3
Chord {C in octave 3 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F#3-diminished seventh chord,1/3,1028/3
Chord {C-sharp in octave 3 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Eighth,F#3-half-diminished seventh chord,0.5,343.0
Chord {D in octave 3 | B-flat in octave 3 | G in octave 3 | F in octave 3 | D in octave 4} Quarter,G3-minor seventh chord,1.0,1031/3
Chord {G in octave 3 | F in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 4} Dotted Eighth,G3-minor seventh chord,0.75,345.0
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} Dotted Eighth,G4-minor seventh chord,0.75,346.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 5} Eighth,G4-minor seventh chord,0.5,347.0
Chord {C in octave 4 | B-flat in octave 3 | G in octave 4 | E in octave 4 | C in octave 5} Half,C4-dominant seventh chord,2.0,1043/3
Chord {G-sharp in octave 3 | F in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 4} Eighth,G#3-diminished seventh chord,0.5,350.0
Chord {A in octave 3 | E in octave 4 | C in octave 4 | B-flat in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),A3-all-interval tetrachord,1/3,1052/3
Chord {C in octave 4 | B-flat in octave 3 | G in octave 4 | E in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C4-dominant seventh chord,1/3,351.0
Chord {B-flat in octave 4 | E in octave 5} Zero,E5-tritone,0.0,351.25
Chord {E in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 4 | E in octave 5} 16th,C4-dominant seventh chord,0.25,351.5
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 4 | G in octave 5} Quarter Triplet (2/3 QL),A4-minor seventh chord,2/3,352.0
Chord {F in octave 4 | D in octave 4 | C in octave 5 | A in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),D4-minor seventh chord,1/3,1061/3
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Eighth,D4-minor seventh chord,0.5,354.0
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,354.75
Chord {G in octave 3 | E-flat in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 4} Dotted Eighth,C#4-dominant seventh chord,0.75,1067/3
Chord {G in octave 3 | E-flat in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),C#4-dominant seventh chord,2/3,356.75
Chord {G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#3-minor seventh chord,1/3,1073/3
Chord {A in octave 3 | F-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | A in octave 4} Eighth,F#4-diminished seventh chord,0.5,358.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 4 | E-flat in octave 4 | D in octave 5} 16th,E-4-major seventh chord,0.25,358.75
Chord {D in octave 3 | A in octave 3 | G in octave 3 | E in octave 3 | D in octave 4} Quarter,E3-quartal tetramirror,1.0,359.75
Chord {E in octave 3 | C in octave 4 | A in octave 3 | G in octave 3 | E in octave 4} 16th,A3-minor seventh chord,0.25,360.75
Chord {C-sharp in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | C-sharp in octave 4} Eighth,C#3-diminished seventh chord,0.5,361.25
Chord {D in octave 3 | A in octave 3 | D in octave 4} Half tied to Eighth (2 1/2 total QL),D3-interval class 5,2.5,361.75
Chord {G in octave 3 | E in octave 3} Half tied to 16th (2 1/4 total QL),E3-interval class 3,2.25,361.75
Chord {F-sharp in octave 3 | E-flat in octave 3} 16th,F#3-interval class 3,0.25,364.0
Chord {D in octave 3 | C in octave 4 | A in octave 3 | F-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-dominant seventh chord,1.25,1094/3
Chord {C-sharp in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | C-sharp in octave 4} Eighth,C#3-diminished seventh chord,0.5,366.0
Chord {D in octave 3 | C in octave 4 | A in octave 3 | F-sharp in octave 3 | D in octave 4} 16th,D3-dominant seventh chord,0.25,1100/3
Chord {F in octave 3 | D in octave 4 | B in octave 3 | G-sharp in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),G#3-diminished seventh chord,1/3,367.0
Chord {A in octave 3 | F-sharp in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} 16th,D4-dominant seventh chord,0.25,1103/3
Chord {C in octave 4 | B-flat in octave 3 | G in octave 4 | D in octave 4 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),G4-perfect-fourth minor tetrachord,5/3,368.25
Chord {B in octave 3 | G-sharp in octave 3 | F in octave 4 | D in octave 4 | B in octave 4} Eighth,G#3-diminished seventh chord,0.5,370.0
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} Quarter,G4-minor seventh chord,1.0,370.75
Chord {A in octave 3 | F-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | A in octave 4} Eighth,F#4-diminished seventh chord,0.5,372.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 4 | C in octave 5} 16th,C4-minor seventh chord,0.25,1118/3
Chord {G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4} Eighth,G#3-minor seventh chord,0.5,373.0
Chord {G in octave 3 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-half-diminished seventh chord,5/3,1121/3
Chord {G in octave 3 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} Dotted Quarter,A3-minor seventh chord,1.5,376.0
Chord {G in octave 3 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),A3-minor seventh chord,2/3,1133/3
Chord {F-sharp in octave 3 | D in octave 4 | B in octave 3 | G in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),G3-major seventh chord,1/3,378.5
Chord {F in octave 3 | D in octave 4 | B in octave 3 | G-sharp in octave 3 | F in octave 4} Eighth,G#3-diminished seventh chord,0.5,379.0
Chord {E in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | E in octave 5} Quarter Triplet (2/3 QL),E4-major-diminished tetrachord,2/3,379.75
Chord {E in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | E in octave 5} Eighth,E4-major-diminished tetrachord,0.5,380.5
Chord {E-flat in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-4-half-diminished seventh chord,1/3,381.5
Chord {D in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | D in octave 5} Eighth,G#4-diminished seventh chord,0.5,382.0
Chord {C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4 | D in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),D4-major-diminished tetrachord,1/3,1148/3
Chord {D in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 4 | D in octave 5} Eighth,G#4-diminished seventh chord,0.5,383.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 5} Half,G4-minor seventh chord,2.0,384.0
Chord {C-sharp in octave 4 | B-flat in octave 3 | G in octave 4 | F in octave 4 | C-sharp in octave 5} Eighth,G4-half-diminished seventh chord,0.5,386.0
Chord {C in octave 4 | B-flat in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),B-3-major-second major tetrachord,2/3,387.0
Chord {G in octave 3 | F in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-minor seventh chord,5/3,388.0
Chord {G-sharp in octave 3 | F in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 4} Eighth,G#3-diminished seventh chord,0.5,390.25
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Eighth,D4-minor seventh chord,0.5,390.75
Chord {C in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C3-dominant seventh chord,1/3,391.5
Chord {F in octave 3 | D in octave 4 | C in octave 4 | A in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,392.25
Chord {G in octave 3 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} Double Dotted Quarter,A3-minor seventh chord,1.75,394.0
Chord {F in octave 3 | D in octave 4 | C in octave 4 | A in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),D4-minor seventh chord,1/3,398.0
Chord {G in octave 3 | F in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),G3-minor seventh chord,1/3,1196/3
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} 16th,D4-minor seventh chord,0.25,399.0
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} 16th,G4-minor seventh chord,0.25,1199/3
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Half,D4-minor seventh chord,2.0,400.0
