4/4
Chord {A in octave 3 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,76/3
Chord {D in octave 2 | E in octave 4 | C in octave 4} Zero,C4-whole-tone trichord,0.0,279.0
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,279.0
Chord {E in octave 4 | C in octave 4 | D in octave 2} Zero,C4-whole-tone trichord,0.0,279.0
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,280.5
Chord {D in octave 2 | E in octave 4} 16th,E4-interval class 2,0.25,842/3
Chord {G-sharp in octave 3 | E in octave 2} 16th,E2-interval class 4,0.25,286.75
Chord {G in octave 3 | D in octave 2 | A in octave 3 | E in octave 3 | D in octave 1} Whole,E3-quartal tetramirror,4.0,287.0
Chord {E in octave 3 | D in octave 1 | G in octave 3 | D in octave 2} Whole,E3-incomplete minor-seventh chord,4.0,295.0
Chord {A in octave 3 | F-sharp in octave 2} Half,F#2-interval class 3,2.0,301.0
Chord {G in octave 3 | E in octave 2 | D in octave 1} Breve tied to Half (10 total QL),E2-incomplete minor-seventh chord,10.0,303.0
Chord {B in octave 4 | D in octave 4 | A in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B4-minor seventh chord,1/3,24.0
Chord {D in octave 4 | A in octave 4 | F-sharp in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),B4-minor seventh chord,1/3,73/3
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,56.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,56.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,56.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,56.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,57.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,57.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,57.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,57.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,60.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,60.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,60.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,60.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,61.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,61.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,61.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,61.75
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,63.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,63.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,64.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,64.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,65.25
Chord {B in octave 4 | A in octave 3} Half,B4-interval class 2,2.0,66.0
Chord {C-sharp in octave 4 | A in octave 4 | E in octave 4} 16th,A4-major triad,0.25,68.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,68.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,68.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,68.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,69.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,69.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,69.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,69.75
Chord {G in octave 1 | D in octave 4 | B in octave 4} Quarter Triplet (2/3 QL),G1-major triad,2/3,70.0
Chord {A in octave 4 | E in octave 4 | E-flat in octave 4} Zero,A4-tritone-fourth,0.0,72.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,75.75
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,76.5
Chord {E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4 | D in octave 4} Dotted Eighth,A3-major pentatonic,0.75,77.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,77.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,78.0
Chord {D in octave 2 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4 | D in octave 4} Eighth,A3-major pentatonic,0.5,79.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,80.0
Chord {D in octave 4 | A in octave 3 | E in octave 4 | C in octave 4 | G in octave 3} Quarter,A3-major pentatonic,1.0,84.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,85.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,85.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,85.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,85.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,86.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,86.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,87.0
Chord {C in octave 4 | A in octave 3 | G in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),A3-incomplete minor-seventh chord,2/3,262/3
Chord {A in octave 3 | D in octave 4 | B in octave 3 | F-sharp in octave 4} 16th,B3-minor seventh chord,0.25,88.0
Chord {C in octave 4 | A in octave 3 | G in octave 3 | E in octave 4} 16th,A3-minor seventh chord,0.25,88.25
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-major triad,10/3,88.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,95.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,101.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,103.0
Chord {G in octave 4 | B in octave 3} Dotted Whole,G4-interval class 4,6.0,104.0
Chord {C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),A4-interval class 3,2/3,110.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,110.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,111.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,112.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,113.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,114.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,115.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,116.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,117.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,118.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,119.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,120.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,121.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,122.75
Chord {G in octave 5 | A in octave 4 | G in octave 4 | C in octave 5} Whole,A4-incomplete minor-seventh chord,4.0,124.0
Chord {G in octave 1 | G in octave 2} Quarter,G1-unison,1.0,128.0
Chord {D in octave 4 | F-sharp in octave 4 | A in octave 4 | B in octave 3} Quarter,B3-minor seventh chord,1.0,129.0
Chord {A in octave 3 | D in octave 4 | B in octave 3 | F-sharp in octave 4} Quarter,B3-minor seventh chord,1.0,130.0
Chord {F-sharp in octave 4 | F-sharp in octave 5 | D in octave 5 | B in octave 4 | A in octave 4 | E in octave 2} Eighth,B4-major pentatonic,0.5,131.0
Chord {D in octave 2 | D in octave 5 | D in octave 5} Eighth,D2-unison,0.5,131.5
Chord {E in octave 5 | E in octave 4 | C in octave 5 | G in octave 4 | D in octave 2 | A in octave 4} Whole,A4-major pentatonic,4.0,132.0
Chord {B in octave 4 | C in octave 3} Quarter tied to 16th (1 1/4 total QL),C3-interval class 1,1.25,147.75
Chord {B in octave 3 | D in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),B3-interval class 3,2.75,153.25
Chord {A in octave 3 | B in octave 3 | D in octave 4} Dotted Half,B3-incomplete minor-seventh chord,3.0,479/3
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,166.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,167.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,168.75
Chord {B in octave 4 | G-sharp in octave 5} 16th,G#5-interval class 3,0.25,169.75
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,176.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,177.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,184.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,185.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,186.5
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,188.0
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,189.0
Chord {G in octave 2 | G in octave 3 | E in octave 3 | A in octave 3 | A in octave 2 | B in octave 2 | A in octave 4} Zero,E3-perfect-fourth minor tetrachord,0.0,192.0
Chord {C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 4 | E-flat in octave 2} Half,C#4-major pentatonic,2.0,193.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,195.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,196.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,197.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,198.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,199.25
Chord {G-sharp in octave 4 | F in octave 4 | C-sharp in octave 4 | C in octave 5 | G-sharp in octave 4} 16th,F4-major seventh chord,0.25,200.25
Chord {F in octave 4 | C-sharp in octave 4 | C in octave 4 | G-sharp in octave 4 | F in octave 4} 16th,F4-major seventh chord,0.25,200.5
Chord {C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4} 16th,G#3-minor seventh chord,0.25,200.75
Chord {G-sharp in octave 4 | F in octave 4 | C-sharp in octave 4 | C in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),F4-major seventh chord,1/3,201.0
Chord {C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),G#3-minor seventh chord,1/3,605/3
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,202.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,203.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 4 | G-sharp in octave 2} Half,E-4-perfect-fourth major tetrachord,2.0,204.0
Chord {G in octave 4 | E-flat in octave 4 | B-flat in octave 3} Quarter,E-4-major triad,1.0,206.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,207.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,208.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,209.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,210.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,211.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,212.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,213.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,214.0
Chord {C in octave 5 | G in octave 4 | C in octave 4} Quarter,C5-interval class 5,1.0,215.0
Chord {G-sharp in octave 5 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,225.0
Chord {G-sharp in octave 4 | C in octave 5} Dotted Half,C5-interval class 4,3.0,231.0
Chord {G-sharp in octave 4 | G-sharp in octave 5} Dotted Whole,G#4-unison,6.0,239.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,246.0
Chord {G-sharp in octave 2 | E-flat in octave 4 | E-flat in octave 3} Dotted Half,E-4-interval class 5,3.0,248.0
Chord {C-sharp in octave 3 | A in octave 5} Zero,A5-interval class 4,0.0,251.0
Chord {E-flat in octave 4 | G in octave 4 | C in octave 5 | B-flat in octave 4} Quarter,C5-minor seventh chord,1.0,251.0
Chord {B-flat in octave 4 | E-flat in octave 5} Quarter,E-5-interval class 5,1.0,252.0
Chord {G in octave 4 | G in octave 2 | G in octave 5} Eighth,G4-unison,0.5,253.0
Chord {G-sharp in octave 4 | G-sharp in octave 2 | G-sharp in octave 5} Eighth,G#4-unison,0.5,253.5
Chord {B-flat in octave 5 | G in octave 5} Quarter,G5-interval class 3,1.0,254.0
Chord {F in octave 2 | G in octave 2 | E in octave 3 | C-sharp in octave 3 | A in octave 5} Zero,F2-augmented-diminished ninth chord,0.0,255.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,255.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,256.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,257.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,258.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,259.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,260.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,261.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,262.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,263.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,267.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,268.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,269.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,270.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,271.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,272.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,273.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,274.25
Chord {G in octave 3 | E in octave 3} Zero,E3-interval class 3,0.0,275.5
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,276.0
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,276.0
Chord {C in octave 4 | E in octave 3} Zero,C4-interval class 4,0.0,276.25
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,829/3
Chord {C in octave 4 | E in octave 3} Zero,C4-interval class 4,0.0,833/3
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,278.5
Chord {D in octave 2 | E in octave 4} 16th,E4-interval class 2,0.25,836/3
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,839/3
Chord {A in octave 3 | B in octave 3} Double Dotted Quarter,B3-interval class 2,1.75,285.0
Chord {G in octave 1 | F-sharp in octave 3 | A in octave 3} Half,F#3-phrygian trichord,2.0,293.0
Chord {E in octave 1 | F in octave 3} Zero,F3-interval class 1,0.0,302.75
Chord {C in octave 4 | G in octave 3} Quarter,C4-interval class 5,1.0,23/3
Chord {G in octave 3 | C in octave 4} Dotted Eighth,C4-interval class 5,0.75,15.75
Chord {F-sharp in octave 4 | A in octave 4 | D in octave 4} Eighth,D4-major triad,0.5,23.25
Chord {C in octave 4 | G in octave 3} Half,C4-interval class 5,2.0,109/3
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,58.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,62.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,62.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,62.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,62.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,63.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,63.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,64.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,64.75
Chord {G in octave 2 | B in octave 3 | D in octave 4 | A in octave 3} Whole,G2-major-second major tetrachord,4.0,68.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,77.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,77.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,77.5
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,78.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,78.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,79.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,79.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,79.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,83.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,84.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,86.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,86.5
Chord {E in octave 4 | A in octave 4 | D in octave 4 | C in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),A4-major pentatonic,2/3,260/3
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,87.5
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,96.25
Chord {G-sharp in octave 5 | A in octave 4 | D in octave 4} Zero,G#5-tritone-fourth,0.0,96.5
Chord {G-sharp in octave 5 | A in octave 4 | E in octave 4} Zero,A4-incomplete major-seventh chord,0.0,96.75
Chord {D in octave 4 | B in octave 3 | G in octave 3 | D in octave 4 | F-sharp in octave 4} Half,G3-major seventh chord,2.0,97.0
Chord {B in octave 3 | F-sharp in octave 3 | B in octave 3 | D in octave 4 | G in octave 3 | F-sharp in octave 4} Quarter,G3-major seventh chord,1.0,99.0
Chord {D in octave 1 | C in octave 4 | E in octave 4 | A in octave 3 | G in octave 4 | D in octave 3 | C in octave 4 | A in octave 3 | C in octave 4 | E in octave 4} Whole,A3-major pentatonic,4.0,100.0
Chord {A in octave 3 | G in octave 1 | B in octave 3} Eighth,G1-whole-tone trichord,0.5,105.0
Chord {D in octave 2 | C in octave 4 | G in octave 3 | A in octave 3 | E in octave 4} Eighth,A3-major pentatonic,0.5,105.5
Chord {G in octave 2 | D in octave 4 | B in octave 3 | A in octave 3} Eighth,G2-major-second major tetrachord,0.5,106.0
Chord {D in octave 2 | C in octave 4 | A in octave 3 | G in octave 3 | E in octave 3} Eighth,A3-major pentatonic,0.5,106.5
Chord {D in octave 4 | B in octave 3} Quarter,B3-interval class 3,1.0,107.0
Chord {C-sharp in octave 4 | A in octave 5} Zero,A5-interval class 4,0.0,108.0
Chord {B in octave 1 | B in octave 3} Eighth,B1-unison,0.5,108.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,111.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,112.5
Chord {E in octave 4 | C in octave 5 | C in octave 5} Whole,C5-interval class 4,4.0,120.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,124.0
Chord {E in octave 3 | D in octave 2 | E in octave 4 | C in octave 4 | G in octave 3} Dotted Half,C4-major-second major tetrachord,3.0,125.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,128.0
Chord {G in octave 1 | D in octave 5 | B in octave 5 | B in octave 4 | A in octave 5 | F-sharp in octave 5} Eighth,G1-major-ninth chord,0.5,129.0
Chord {D in octave 2 | A in octave 5 | B in octave 4 | A in octave 4 | D in octave 5} Eighth,B4-incomplete minor-seventh chord,0.5,129.5
Chord {F-sharp in octave 3 | B in octave 3 | D in octave 4 | A in octave 3} Quarter,B3-minor seventh chord,1.0,131.0
Chord {C in octave 4 | D in octave 1 | A in octave 3 | G in octave 3 | E in octave 3} Quarter,A3-major pentatonic,1.0,132.0
Chord {C in octave 4 | A in octave 3 | E in octave 4} Eighth,A3-minor triad,0.5,133.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,133.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,134.5
Chord {G in octave 1 | G in octave 2} Quarter,G1-unison,1.0,136.0
Chord {D in octave 2 | F-sharp in octave 4 | D in octave 4 | B in octave 3 | D in octave 5 | B in octave 3 | B in octave 4 | F-sharp in octave 4 | F-sharp in octave 5 | A in octave 4} Eighth,B3-minor seventh chord,0.5,137.0
Chord {G in octave 2 | E in octave 5 | C in octave 4 | C in octave 5 | G in octave 4 | G in octave 3 | B in octave 4 | E in octave 4 | G in octave 5 | A in octave 3} Eighth,A3-minor-ninth chord,0.5,137.5
Chord {F-sharp in octave 3 | D in octave 2 | B in octave 3 | A in octave 5 | D in octave 5} Eighth,B3-minor seventh chord,0.5,138.0
Chord {G in octave 1 | G in octave 3 | C in octave 4 | G in octave 5 | G in octave 4 | E in octave 5 | C in octave 5 | B in octave 4 | E in octave 4 | A in octave 3} Eighth,A3-minor-ninth chord,0.5,138.5
Chord {A in octave 3 | D in octave 4 | D in octave 2 | B in octave 3 | A in octave 4 | F-sharp in octave 5 | D in octave 5 | F-sharp in octave 4} Eighth,B3-minor seventh chord,0.5,139.0
Chord {A in octave 4 | B in octave 3 | D in octave 2 | F-sharp in octave 4 | D in octave 4} Eighth,B3-minor seventh chord,0.5,139.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,140.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,141.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,142.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,143.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,171.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,172.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,173.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,174.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,175.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,176.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,177.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,178.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,179.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,180.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,181.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,182.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,183.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,184.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,185.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,186.25
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,562/3
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,188.0
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,188.25
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,188.25
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,565/3
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,188.5
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,188.5
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,566/3
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,188.75
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,188.75
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,189.0
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,189.0
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,189.25
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,189.25
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,568/3
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,189.5
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,189.5
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,569/3
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,189.75
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,189.75
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,190.0
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,190.0
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,190.0
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,190.25
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,190.25
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,571/3
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,190.75
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,190.75
Chord {A in octave 3 | E in octave 3 | G in octave 2 | G in octave 3 | A in octave 2 | B in octave 2} Zero,E3-perfect-fourth minor tetrachord,0.0,581/3
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,195.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,196.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,197.5
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 4 | C in octave 4} Eighth,C4-minor seventh chord,0.5,198.5
Chord {F in octave 2 | A in octave 5} Zero,F2-interval class 4,0.0,199.0
Chord {E-flat in octave 5 | C in octave 5 | B-flat in octave 4 | G-sharp in octave 5} Whole,C5-major-second major tetrachord,4.0,203.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,207.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,208.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,209.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,210.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,211.25
